YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,2,35,0.94,Low
2025,3,35,11.0,Low
2025,4,35,11.0,High
2025,5,35,9.99,High
2025,6,35,11.0,High
2025,7,35,4.12,Medium
2025,8,35,4.72,Low
2025,9,35,6.34,Medium
2025,10,35,7.85,Medium
2025,11,35,8.23,Medium
2025,12,35,9.73,High
2026,1,35,10.28,High
2026,2,35,9.28,Medium
2026,3,35,9.37,High
2026,4,35,8.89,High
2026,5,35,10.65,High
2025,1,36,1.34,Low
2025,2,36,1.62,Low
2025,3,36,1.58,Low
2025,4,36,1.6,Low
2025,5,36,1.49,Low
2025,6,36,1.3,Low
2025,7,36,1.25,Low
2025,8,36,1.26,Low
2025,9,36,1.08,Low
2025,10,36,1.03,Low
2025,11,36,1.04,Low
2025,12,36,1.01,Low
2026,1,36,1.0,Low
2026,2,36,1.01,Low
2026,3,36,1.01,Low
2026,4,36,0.99,Low
2026,5,36,1.02,Low
2025,1,37,1.11,Low
2025,2,37,1.41,Low
2025,3,37,1.59,Low
2025,4,37,1.57,Low
2025,5,37,1.29,Low
2025,6,37,1.23,Low
2025,7,37,1.23,Low
2025,8,37,1.07,Low
2025,9,37,1.08,Low
2025,10,37,1.05,Low
2025,11,37,1.01,Low
2025,12,37,1.01,Low
2026,1,37,1.0,Low
2026,2,37,1.01,Low
2026,3,37,1.01,Low
2026,4,37,0.99,Low
2026,5,37,1.02,Low
2025,1,38,4.84,Medium
2025,2,38,4.75,Medium
2025,3,38,4.77,Medium
2025,4,38,5.03,Medium
2025,5,38,7.26,Medium
2025,6,38,9.99,Medium
2025,7,38,12.64,High
2025,8,38,9.28,High
2025,9,38,4.78,Medium
2025,10,38,3.43,Low
2025,11,38,4.37,Low
2025,12,38,5.67,Medium
2026,1,38,6.05,Medium
2026,2,38,6.74,Medium
2026,3,38,7.4,Medium
2026,4,38,8.35,Medium
2026,5,38,10.91,High
2025,1,39,6.0,Medium
2025,2,39,5.07,Medium
2025,3,39,4.72,Medium
2025,4,39,4.49,Medium
2025,5,39,5.44,Medium
2025,6,39,6.0,Medium
2025,7,39,6.0,Medium
2025,8,39,5.75,Medium
